stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,agency_id
318,,QUEENSTON & GRAY,HIGHWAY NO. 8 & GRAY RD,43.223404,-79.744076,,,,,,0,HSR
1001,2939,ABERDEEN at CHEDOKE,ABERDEEN AV & CHEDOKE AV,43.251863,-79.896418,,,,,,0,HSR
1002,2940,ABERDEEN at COTTAGE,ABERDEEN AV & COTTAGE AV,43.250371,-79.890369,,,,,,0,HSR
1003,2952,ABERDEEN opposite COTTAGE,ABERDEEN AV & COTTAGE AV OPP,43.250463,-79.890115,,,,,,0,HSR
1004,2952,ABERDEEN at DUNDURN,ABERDEEN AV & DUNDURN ST S,43.250967,-79.892346,,,,,,0,HSR
1005,2940,ABERDEEN at DUNDURN,ABERDEEN AV & DUNDURN ST,43.250953,-79.892967,,,,,,0,HSR
1006,2952,ABERDEEN at KENT,ABERDEEN AV & KENT ST,43.249371,-79.885379,,,,,,0,HSR
1007,2941,ABERDEEN at KENT,ABERDEEN AV & KENT ST,43.249278,-79.885615,,,,,,0,HSR
1008,2952,ABERDEEN at LOCKE,ABERDEEN AV & LOCKE ST,43.24996,-79.887884,,,,,,0,HSR
1009,2955,ABERDEEN at LONGWOOD,ABERDEEN AV & LONGWOOD RD,43.253356,-79.901766,,,,,,0,HSR
1010,2939,ABERDEEN opposite LONGWOOD,ABERDEEN AV & LONGWOOD RD OPP,43.253114,-79.901472,,,,,,0,HSR
1011,2953,ABERDEEN opposite CHEDOKE,ABERDEEN AV & CHEDOKE AV,43.251998,-79.896579,,,,,,0,HSR
1012,2941,ABERDEEN at SPRUCESIDE,ABERDEEN AV & SPRUCESIDE AV,43.248831,-79.883747,,,,,,0,HSR
1013,2939,ABERDEEN at STUDHOLME,ABERDEEN AV & STUDHOLME AV,43.252588,-79.899439,,,,,,0,HSR
1014,2953,ABERDEEN opposite STUDHOLME,ABERDEEN AV & STUDHOLME RD OPP,43.252796,-79.899563,,,,,,0,HSR
1015,2941,ABERDEEN at UNDERMOUNT,ABERDEEN AV & UNDERMOUNT AV,43.249761,-79.887735,,,,,,0,HSR
1017,2630,AMBERLY opposite BLOOMSBURY,0 AMBERLY BV & BLOOMSBURY CT,43.207556,-79.985157,,,,,,0,HSR
1018,2632,AMBERLY opposite CHIPPENDALE,AMBERLY BV & CHIPPENDALE AV OPP (#265),43.207699,-79.998995,,,,,,0,HSR
1019,2621,AMBERLY at SUNNYMEADE,AMBERLY BV & SUNNYMEADE DR OPP (#257),43.207392,-79.999086,,,,,,0,HSR
1020,2622,AMBERLY at COTTINGHAM WEST,AMBERLY BV & COTTINGHAM CT (WEST LEG),43.206743,-79.989295,,,,,,0,HSR
1021,2622,AMBERLY at FIDDLERS GREEN,AMBERLY BV & FIDDLER'S GREEN RD,43.207646,-79.984471,,,,,,0,HSR
1022,2631,AMBERLY at LEITH COURT,AMBERLY BV & LEITH CT,43.206783,-79.989757,,,,,,0,HSR
1023,2621,AMBERLY at MELANIE WEST,AMBERLY BV & MELANIE CT (WEST LEG),43.206665,-79.993977,,,,,,0,HSR
1024,2631,AMBERLY opposite MELANIE WEST,AMBERLY BV & MELANIE CT (WEST LEG) OPP (#161),43.206864,-79.993661,,,,,,0,HSR
1025,2632,AMBERLY at WILSON,AMBERLY BV & WILSON ST W,43.209311,-79.99926,,,,,,0,HSR
1026,2131,ANCHOR opposite BIGWIN,ANCHOR RD & BIGWIN RD OPP,43.193149,-79.823736,,,,,,0,HSR
1027,2624,ANSON at GARNER,ANSON DR & GARNER RD E,43.202791,-79.978652,,,,,,0,HSR
1028,2091,ARKLEDUN opposite KINGSWAY,ARKLEDUN AV & KINGSWAY DR,43.247211,-79.868623,,,,,,0,HSR
1029,2090,ARKLEDUN opposite KINGSWAY,ARKLEDUN AV & KINGSWAY DR,43.247211,-79.868623,,,,,,0,HSR
1030,2028,ARKLEDUN at KINGSWAY,ARKLEDUN AV & KINGSWAY DR,43.247014,-79.868585,,,,,,0,HSR
1031,2020,ARKLEDUN at KINGSWAY,ARKLEDUN AV & KINGSWAY DR,43.247014,-79.868585,,,,,,0,HSR
1032,2541,At 596 ARVIN,ARVIN AV & #596,43.226226,-79.702306,,,,,,0,HSR
1033,2541,At 560 ARVIN,ARVIN AV & #560,43.227166,-79.706317,,,,,,0,HSR
1034,2541,At 576 ARVIN,ARVIN AV & #576,43.226683,-79.704268,,,,,,0,HSR
1035,2541,ARVIN at FRUITLAND,ARVIN AV & FRUITLAND RD,43.225516,-79.699353,,,,,,0,HSR
1036,2945,AUGUSTA at JAMES,AUGUSTA ST & JAMES ST,43.251991,-79.870456,,,,,,0,HSR
1037,2945,AUGUSTA at JOHN,AUGUSTA ST & JOHN ST,43.251596,-79.868799,,,,,,0,HSR
1038,1213,At 2434 BARTON,BARTON ST E & #2434 W CENTENNIAL PY,43.237378,-79.762074,,,,,,0,HSR
1040,1212,At 2553 BARTON,BARTON ST E & #2553 W LAKE AV,43.235614,-79.755035,,,,,,0,HSR
1041,1261,Opposite 2553 BARTON,BARTON ST E & #2553 OPP,43.235695,-79.755827,,,,,,0,HSR
1042,1262,At 2772 BARTON,BARTON ST E & #2772 W BELL MANOR ST,43.23334,-79.744993,,,,,,0,HSR
